tweet_id,text,retweets,urls,mentions,hashtags,emoji,emoji_text,cleaned_text
1261813182353596421,"BREAKING: man critically injured at Dallas riots 

It appears he attempted to defend a shop with a large sword 

Looters ran at him, then he charged rioters 

They then beat him with a skateboard and stoned him with medium sized rocks 

I called an Ambulance and it’s on the way https://t.co/kFxl3kjsBC",16812,['https://t.co/kFxl3kjsBC'],[],[],[],[],"BREAKING: man critically injured at Dallas riots 

It appears he attempted to defend a shop with a large sword 

Looters ran at him, then he charged rioters 

They then beat him with a skateboard and stoned him with medium sized rocks 

I called an Ambulance and it’s on the way "
1266912627193774080,And KEEP THIS SAME ENERGY WHEN YOU VOTE. The worst thing that could happen is this all happening for nothing.,16769,[],[],[],[],[],And KEEP THIS SAME ENERGY WHEN YOU VOTE. The worst thing that could happen is this all happening for nothing.
1263267220496568320,Wear a mask.,16763,[],[],[],[],[],Wear a mask.
1259631071831957505,My friend #emeraldblack is pregnant was pulled over for her tags and was aggressively pulled out of her car (clearly pregnant) flipped her on the floor and arrested her and stomped on her stomach causing a miscarriage. Please bring awareness because the Bay Area won’t cover this https://t.co/eyR75VGBTr,16734,['https://t.co/eyR75VGBTr'],[],['#emeraldblack'],[],[],My friend  is pregnant was pulled over for her tags and was aggressively pulled out of her car (clearly pregnant) flipped her on the floor and arrested her and stomped on her stomach causing a miscarriage. Please bring awareness because the Bay Area won’t cover this 
1258481675488694272,"as protesters march on Trump Tower in Chicago &amp; the White House, a frank media might point out the death of Mr.Floyd happened under a democrat mayor, democrat senator, democrat governor, with a democrat county prosecutor. the only person who did shit was a republican. Trump.",16713,[],[],[],[],[],"as protesters march on Trump Tower in Chicago &amp; the White House, a frank media might point out the death of Mr.Floyd happened under a democrat mayor, democrat senator, democrat governor, with a democrat county prosecutor. the only person who did shit was a republican. Trump."
1264912066672046081,"TRANSITION TO GREATNESS! Get ready, it is already happening again!",16701,[],[],[],[],[],"TRANSITION TO GREATNESS! Get ready, it is already happening again!"
1262264331988692992,The cookies have had enough of social distancing https://t.co/XCa8t8IDap,16670,['https://t.co/XCa8t8IDap'],[],[],[],[],The cookies have had enough of social distancing 
1265506855255752706,"The number of Coronavirus cases is strongly trending downward throughout the United States, with few exceptions. Very good news, indeed!",16660,[],[],[],[],[],"The number of Coronavirus cases is strongly trending downward throughout the United States, with few exceptions. Very good news, indeed!"
1265850234116005890,do i yell at friends for breaking social distancing knowing it will probably just alienate me from them or do i just shove that anger deep inside me forever and pretend they arent being horrifically selfish,16591,[],[],[],[],[],do i yell at friends for breaking social distancing knowing it will probably just alienate me from them or do i just shove that anger deep inside me forever and pretend they arent being horrifically selfish
1265461430737874944,"rappers be like “i’m sippin lean you sippin water”
like ok...??? that’s fine bro",16490,[],[],[],[],[],"rappers be like “i’m sippin lean you sippin water”
like ok...??? that’s fine bro"
